日期,时段,计划购电量_kWh,充电量_kWh,放电量_kWh,时段初储能_kWh,时段末储能_kWh,真实净负荷_kWh,紧急购电量_kWh,弃电量_kWh,能量平衡残差_kWh
2025-04-10,22:20-22:30,541.1599833299379,0.0,0.0,1200.0,1200.0,548.8333333333333,7.673350003395399,0.0,0.0
2025-04-10,22:30-22:40,561.0765706651123,0.0,0.0,1200.0,1200.0,540.4322833333333,0.0,20.64428733177897,0.0
2025-04-10,22:40-22:50,579.2668756425535,0.0,0.0,1200.0,1200.0,528.9528833333333,0.0,50.313992309220225,0.0
2025-04-10,22:50-23:00,588.8716911474359,0.0,0.0,1200.0,1200.0,523.15,0.0,65.72169114743588,0.0
2025-04-10,23:00-23:10,586.5642109262074,0.0,0.0,1200.0,1200.0,546.3319833333333,0.0,40.232227592874096,0.0
2025-04-10,23:10-23:20,583.7280063936248,0.0,0.0,1200.0,1200.0,573.4544333333333,0.0,10.273573060291483,0.0
2025-04-10,23:20-23:30,562.1681267432944,0.0,0.0,1200.0,1200.0,583.6833333333333,21.51520659003893,0.0,0.0
2025-04-10,23:30-23:40,587.0241073501843,0.0,0.0,1200.0,1200.0,565.8127499999999,0.0,21.211357350184358,0.0
2025-04-10,23:40-23:50,557.9298948752471,0.0,0.0,1200.0,1200.0,484.8479,0.0,73.08199487524712,0.0
2025-04-10,23:50-0:00+1,393.6725674155643,0.0,-0.0,1200.0,1200.0,392.31499999999994,0.0,1.357567415564347,0.0
2025-04-11,0:00-0:10,1248.333373595618,833.3333333333333,0.0,1200.0,1950.0,390.5481,0.0,24.45194026228478,0.0
2025-04-11,0:10-0:20,1289.6536590982619,833.3333333333333,0.0,1950.0,2700.0,416.8523666666666,0.0,39.467959098261986,0.0
2025-04-11,0:20-0:30,1275.228869931837,833.3333333333333,0.0,2700.0,3450.0,419.53999999999996,0.0,22.355536598503704,0.0
2025-04-11,0:30-0:40,407.89291962286893,24.310299763635864,0.0,3450.0,3471.8792697872723,405.0065833333333,21.42396347410022,0.0,-2.4868995751603507e-14
2025-04-11,0:40-0:50,1255.4865773862027,833.3333333333333,0.0,3471.8792697872723,4221.879269787272,398.0139333333333,0.0,24.139310719536184,0.0
2025-04-11,0:50-1:00,447.47241930570607,0.0,0.0,4221.879269787272,4221.879269787272,408.275,0.0,39.19741930570609,0.0
2025-04-11,1:00-1:10,412.2140306216495,0.0,0.0,4221.879269787272,4221.879269787272,428.4067333333333,16.192702711683808,0.0,0.0
2025-04-11,1:10-1:20,382.3461737070097,0.0,0.0,4221.879269787272,4221.879269787272,457.56333333333333,75.21715962632362,0.0,0.0
2025-04-11,1:20-1:30,448.7113978723771,0.0,0.0,4221.879269787272,4221.879269787272,467.205,18.493602127622864,0.0,0.0
2025-04-11,1:30-1:40,448.13934769164604,0.0,0.0,4221.879269787272,4221.879269787272,425.01159999999993,0.0,23.127747691646107,0.0
2025-04-11,1:40-1:50,457.2285325326929,0.0,0.0,4221.879269787272,4221.879269787272,398.4728666666666,0.0,58.75566586602628,0.0
2025-04-11,1:50-2:00,441.7251261304095,0.0,0.0,4221.879269787272,4221.879269787272,407.1066666666666,0.0,34.61845946374285,0.0
2025-04-11,2:00-2:10,466.7029905809104,0.0,0.0,4221.879269787272,4221.879269787272,409.1368166666667,0.0,57.566173914243734,0.0
2025-04-11,2:10-2:20,463.13250361455334,0.0,0.0,4221.879269787272,4221.879269787272,410.0126,0.0,53.11990361455332,0.0
