日期,时间段,充电量_kWh,放电量_kWh,时段初储能_kWh,时段末储能_kWh
2025-04-02,16:00-20:00,0.0,5682.779148962114,10800.0,4485.800945597651
2025-04-02,20:00-24:00,0.0,2957.220851037886,4485.800945597651,1200.0
2025-04-03,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-04-03,4:00-8:00,1666.6666666666665,5684.109455353398,9300.0,4484.322827385114
2025-04-03,8:00-12:00,6133.533473970705,2891.5867041687006,4484.322827385114,6791.628838215747
2025-04-03,12:00-16:00,5107.957364555039,529.9114196837538,6791.628838215747,10800.0
2025-04-03,16:00-20:00,0.0,5669.67301908113,10800.0,4500.363312132078
2025-04-03,20:00-24:00,0.0,2970.32698091887,4500.363312132078,1200.0
2025-04-04,0:00-4:00,3404.1027176852476,0.0,1200.0,4263.692445916723
2025-04-04,4:00-8:00,833.3333333333333,3432.323201325051,4263.692445916723,1200.0
2025-04-04,8:00-12:00,1286.865899255429,0.0,1200.0,2358.179309329886
2025-04-04,12:00-16:00,9335.051054115827,0.0,2358.179309329886,10759.72525803413
2025-04-04,16:00-20:00,44.7497132954101,6254.190290787006,10759.72525803413,3850.8996769033247
2025-04-04,20:00-24:00,0.0,2385.809709212992,3850.8996769033247,1200.0
2025-04-05,0:00-4:00,3112.634001792504,0.0,1200.0,4001.3706016132537
2025-04-05,4:00-8:00,833.3333333333333,3196.2335414519293,4001.3706016132537,1200.0
2025-04-05,8:00-12:00,901.200523931042,0.0,1200.0,2011.0804715379377
2025-04-05,12:00-16:00,9765.466142735622,0.0,2011.0804715379377,10800.0
2025-04-05,16:00-20:00,0.0,6212.283552010387,10800.0,3897.462719988459
2025-04-05,20:00-24:00,0.0,2427.7164479896132,3897.462719988459,1200.0
2025-04-06,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-04-06,4:00-8:00,1666.6666666666665,5933.7535976238,9300.0,4206.940447084667
2025-04-06,8:00-12:00,6089.208947570586,2706.2464023762,4206.940447084667,6680.288052813528
2025-04-06,12:00-16:00,4998.739242851919,341.23803424223127,6680.288052813528,10800.0
2025-04-06,16:00-20:00,0.0,5655.699052707794,10800.0,4515.889941435784
2025-04-06,20:00-24:00,0.0,2984.3009472922054,4515.889941435784,1200.0
2025-04-07,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-04-07,4:00-8:00,1666.6666666666665,6404.790255239346,9300.0,3683.5663830673943
2025-04-07,8:00-12:00,6220.086944064156,2235.2097447606548,3683.5663830673943,6798.078249657741
2025-04-07,12:00-16:00,5210.075722753694,618.431760122462,6798.078249657741,10800.0
2025-04-07,16:00-20:00,0.0,5701.03529962325,10800.0,4465.516333751944
2025-04-07,20:00-24:00,0.0,2938.9647003767495,4465.516333751944,1200.0
2025-04-08,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-04-08,4:00-8:00,1666.6666666666665,6098.951516345779,9300.0,4023.387204060245
2025-04-08,8:00-12:00,5978.703103982169,2541.04848365422,4023.387204060245,6580.832793583952
2025-04-08,12:00-16:00,4916.989467733064,185.51098308933834,6580.832793583952,10800.0
2025-04-08,16:00-20:00,0.0,5711.646040394595,10800.0,4453.726621783782
2025-04-08,20:00-24:00,0.0,2928.3539596054043,4453.726621783782,1200.0
2025-04-09,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-04-09,4:00-8:00,1666.6666666666665,5550.014328067775,9300.0,4633.317413258027
2025-04-09,8:00-12:00,5979.335646145062,3089.985671932224,4633.317413258027,6581.402081530557
2025-04-09,12:00-16:00,4800.502014490482,91.66850511479093,6581.402081530557,10800.0
2025-04-09,16:00-20:00,0.0,5690.476149544373,10800.0,4477.248722728474
2025-04-09,20:00-24:00,0.0,2949.523850455626,4477.248722728474,1200.0
2025-04-10,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-04-10,4:00-8:00,1666.6666666666665,5682.816199940081,9300.0,4485.759777844354
