date,method,lp_status,lp_message,lp_objective_yuan,expected_cost_yuan,cleanup_objective_difference_yuan,cleanup_state_max_abs_kwh,simultaneous_periods_before_cleanup,simultaneous_periods_after_cleanup,horizon_periods,scenario_count,planning_initial_kwh,planning_terminal_kwh,seconds,latest_input_date,scenario_first_origin,scenario_last_origin,scenario_last_observed_date
2025-02-26,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),89082.33018733595,89082.33018733597,2.9103830456733704e-11,5.4569682106375694e-12,0,0,288,1,8549.999999999996,6000.0,0.012060399996698834,2025-02-25,2025-01-28,2025-02-24,2025-02-25
2025-02-26,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),48483.232301229116,48483.23230122906,-5.820766091346741e-11,3.637978807091713e-12,0,0,144,28,6000.000000000001,6000.0,0.04336219999822788,2025-02-25,2025-01-28,2025-02-24,2025-02-25
2025-02-27,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),65387.01105625904,65387.01105625904,0.0,3.637978807091713e-12,0,0,288,28,8550.0,6000.0,0.08362330000090878,2025-02-26,2025-01-29,2025-02-25,2025-02-26
2025-02-27,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),61275.080854058586,61275.080854058586,0.0,3.637978807091713e-12,0,0,288,1,8550.0,6000.0,0.010004099996876903,2025-02-26,2025-01-29,2025-02-25,2025-02-26
2025-02-27,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),48175.30293992096,48175.30293992094,-2.1827872842550278e-11,3.637978807091713e-12,0,0,144,28,6000.0,6000.0,0.04448870000487659,2025-02-26,2025-01-29,2025-02-25,2025-02-26
2025-02-28,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),36104.085761992144,36104.08576199215,7.275957614183426e-12,5.4569682106375694e-12,0,0,288,28,6576.167136375663,6000.0,0.07507110000005923,2025-02-27,2025-01-30,2025-02-26,2025-02-27
2025-02-28,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),34098.87744440127,34098.877444401274,7.275957614183426e-12,5.4569682106375694e-12,0,0,288,1,6504.922598890924,6000.0,0.009393799991812557,2025-02-27,2025-01-30,2025-02-26,2025-02-27
2025-02-28,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),18395.637492314854,18395.63749231484,-1.4551915228366852e-11,2.7284841053187847e-12,0,0,144,28,6000.000000000003,6000.0,0.04175579998991452,2025-02-27,2025-01-30,2025-02-26,2025-02-27
2025-03-01,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),64073.20851827886,64073.2085182789,4.3655745685100555e-11,3.637978807091713e-12,0,0,288,28,6326.310155850632,6000.0,0.08313689999340568,2025-02-28,2025-01-31,2025-02-27,2025-02-28
2025-03-01,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),60025.6551740213,60025.655174021274,-2.9103830456733704e-11,5.4569682106375694e-12,0,0,288,1,6244.519516575094,6000.0,0.010199500000453554,2025-02-28,2025-01-31,2025-02-27,2025-02-28
