date,original_cost,published_cost,saving_yuan,cumulative_saving_yuan
2025-10-16,47289.1140114,47289.1140114,0,12861.8943389
2025-10-17,18492.56622,18492.56622,0,12861.8943389
2025-10-18,20045.7747053,20045.7747053,0,12861.8943389
2025-10-19,47147.4173075,47147.4173075,0,12861.8943389
2025-10-20,49005.9434527,49005.9434527,0,12861.8943389
2025-10-21,48259.305825,48259.305825,0,12861.8943389
2025-10-22,50687.5195903,50687.5195903,0,12861.8943389
2025-10-23,45835.1169393,45835.1169393,0,12861.8943389
2025-10-24,19497.0867027,19497.0867027,0,12861.8943389
2025-10-25,20662.7997341,20662.7997341,0,12861.8943389
2025-10-26,47775.7433743,47775.7433743,0,12861.8943389
2025-10-27,49000.4068109,49000.4068109,0,12861.8943389
2025-10-28,48327.2776868,48327.2776868,0,12861.8943389
2025-10-29,52141.7411603,52141.7411603,0,12861.8943389
2025-10-30,47192.791369,47192.791369,0,12861.8943389
2025-10-31,19716.8683726,19716.8683726,0,12861.8943389
2025-11-01,20904.1934461,20904.1934461,0,12861.8943389
2025-11-02,50576.1026684,50576.1026684,0,12861.8943389
2025-11-03,51139.881882,51139.881882,0,12861.8943389
2025-11-04,51343.2072481,51343.2072481,0,12861.8943389
2025-11-05,51107.2407438,51107.2407438,0,12861.8943389
2025-11-06,52243.4568397,52243.4568397,0,12861.8943389
2025-11-07,20560.3445208,20560.3445208,0,12861.8943389
2025-11-08,21185.7363305,21185.7363305,0,12861.8943389
2025-11-09,52592.5886786,52592.5886786,0,12861.8943389
2025-11-10,52878.0985292,52878.0985292,0,12861.8943389
2025-11-11,52224.3812158,52224.3812158,0,12861.8943389
2025-11-12,52827.3975425,52827.3975425,0,12861.8943389
2025-11-13,52512.492484,52512.492484,0,12861.8943389
2025-11-14,20459.9139782,20459.9139782,0,12861.8943389
2025-11-15,21496.2638663,21496.2638663,0,12861.8943389
2025-11-16,55025.6634274,55025.6634274,0,12861.8943389
2025-11-17,53984.9328429,53984.9328429,0,12861.8943389
2025-11-18,54501.498627,54501.498627,0,12861.8943389
2025-11-19,54413.8546405,54413.8546405,0,12861.8943389
2025-11-20,53890.1734318,53890.1734318,0,12861.8943389
2025-11-21,21811.577963,21811.577963,0,12861.8943389
2025-11-22,22733.6528119,22733.6528119,0,12861.8943389
2025-11-23,55687.1283671,55687.1283671,0,12861.8943389
2025-11-24,55116.9859581,55116.9859581,0,12861.8943389
2025-11-25,55021.2015168,55021.2015168,0,12861.8943389
2025-11-26,55092.0117073,55092.0117073,0,12861.8943389
2025-11-27,55109.9567627,55109.9567627,0,12861.8943389
2025-11-28,22157.2655569,22157.2655569,0,12861.8943389
2025-11-29,26222.0985354,26222.0985354,0,12861.8943389
2025-11-30,57285.4372969,57285.4372969,0,12861.8943389
2025-12-01,71396.9849489,71396.9849489,0,12861.8943389
2025-12-02,72041.6901855,72041.6901855,0,12861.8943389
2025-12-03,64224.1333148,64224.1333148,0,12861.8943389
2025-12-04,65224.462862,65224.462862,0,12861.8943389
2025-12-05,28372.3466333,28372.3466333,0,12861.8943389
2025-12-06,29818.3512198,29818.3512198,0,12861.8943389
2025-12-07,65072.7383068,65072.7383068,0,12861.8943389
2025-12-08,65417.5873769,65417.5873769,0,12861.8943389
2025-12-09,65530.5085512,65530.5085512,0,12861.8943389
2025-12-10,64769.2009657,64769.2009657,0,12861.8943389
2025-12-11,64627.2990183,64627.2990183,0,12861.8943389
2025-12-12,29383.5585819,29383.5585819,0,12861.8943389
2025-12-13,28813.863908,28813.863908,0,12861.8943389
2025-12-14,64923.2932279,64923.2932279,0,12861.8943389
2025-12-15,65541.5809364,65541.5809364,0,12861.8943389
2025-12-16,65229.544449,65229.544449,0,12861.8943389
2025-12-17,65751.5389911,65751.5389911,0,12861.8943389
2025-12-18,64609.7206824,64609.7206824,0,12861.8943389
2025-12-19,29210.9130007,29210.9130007,0,12861.8943389
2025-12-20,28563.740061,28563.740061,0,12861.8943389
2025-12-21,65505.9595947,65505.9595947,0,12861.8943389
2025-12-22,65503.3933604,65503.3933604,0,12861.8943389
2025-12-23,64845.2346424,64845.2346424,0,12861.8943389
2025-12-24,64172.6506507,64172.6506507,0,12861.8943389
2025-12-25,64254.5139806,64254.5139806,0,12861.8943389
2025-12-26,27970.883878,27970.883878,0,12861.8943389
2025-12-27,28413.0737374,28413.0737374,0,12861.8943389
2025-12-28,63881.7912877,63881.7912877,0,12861.8943389
2025-12-29,64333.3389114,64333.3389114,0,12861.8943389
2025-12-30,63502.0395791,63502.0395791,0,12861.8943389
2025-12-31,63209.3749719,63209.3749719,0,12861.8943389
