date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots
2025-07-29,65244.77087947722,4518.449564336004,69763.22044381323,88188.30850705299,22517.68017147476,18239.320938894554,1023.9577680272089,8864.6610925,8550.0,8550.0,20
2025-07-30,65460.752699089935,1462.958508619174,66923.7112077091,87891.72060127344,22396.934664328543,18141.517078106117,310.3807188265302,9843.429683877548,8550.0,8550.0,19
2025-07-31,60696.79258162165,1299.7978448458914,61996.59042646755,80935.04248901954,16054.786433436211,18099.745251474487,273.94065612244873,8558.945696513601,8550.0,2888.4797328987147,12
2025-08-01,24817.456763741266,704.4013966768451,25521.858160418113,43536.02224804716,13893.873379356683,11392.488283894558,221.18433294217664,20004.46181886054,2888.4797328987147,2734.6454588813303,16
2025-08-02,27077.33927188797,499.9881084182229,27577.327380306193,49628.60174256067,20151.95019616612,11089.260571887755,112.03262250000003,19750.919807448976,2734.6454588813303,8550.0,7
2025-08-03,58274.15460317201,3369.436946544053,61643.59154971607,82130.44006369772,22075.762180578855,17881.367366268878,773.3308532993195,15869.896119353738,8550.0,8550.0,30
2025-08-04,58169.21560213634,811.0806227252234,58980.296224861566,80962.59276275741,21878.93410027442,17721.936621222278,251.53859202381034,11641.478792395748,8550.0,8550.0,18
2025-08-05,57058.74054419323,1311.7593627253893,58370.49990691862,79141.46126613568,21567.015175820943,17469.282292414966,337.5813206462583,10228.999970042621,8550.0,8550.0,16
2025-08-06,56909.47198894417,8692.812840738616,65602.28482968279,77819.82798287834,21070.639899323924,17067.21831845238,1894.049802176869,7596.056937517008,8550.0,8550.0,41
2025-08-07,51715.42789372714,1900.8179122398772,53616.24580596702,69777.9895547302,13858.040664441083,16676.957158248297,517.290452687074,9726.211251224488,8550.0,2492.28419994331,26
2025-08-08,22693.479906967754,715.4046135479269,23408.88452051568,41131.62886065907,13409.452259995805,10911.597014048979,179.30865658163273,23037.91102129387,2492.28419994331,2436.7945516628874,15
2025-08-09,25776.62561685573,2022.4133378356134,27799.038954691347,47211.948886867176,19587.114657428403,10903.677969013606,536.6605259523812,20143.243724404758,2436.7945516628874,7950.0,20
2025-08-10,54445.37635700892,6027.052524499744,60472.42888150867,73315.06552849815,19948.80776402536,16158.534288860543,1579.6120481972791,5799.785051530612,7950.0,7950.0,36
