日期,模型,计划购电费_元,紧急购电费_元,实际总成本_元,计划购电量_kWh,紧急购电量_kWh,紧急购电次数,弃电量_kWh,期初储能_kWh,期末储能_kWh,CVaR紧急成本_元,净负荷RMSE_kWh,净负荷MAE_kWh,80分位覆盖率,季度
2025-09-03,GBDT分位数主模型,52308.25874317954,87.43252152057862,52395.691264700115,82002.53520009179,20.09853031343971,3,22226.634868014815,1200.0,1200.0,2951.3561500105434,97.41149708782174,83.29305702272973,0.9930555555555556,Q3
2025-09-04,GBDT分位数主模型,52367.030854980956,312.51697529931187,52679.547830280266,82537.93763523654,70.54311499004564,3,24361.00969736754,1200.0,1200.0,6457.157436220784,117.15722098673342,92.12105068513905,0.9305555555555556,Q3
2025-09-05,GBDT分位数主模型,27582.990610362784,5.727555272984167,27588.718165635768,45512.731003008754,1.3079596421521273,1,35810.384973634995,1200.0,1200.0,1289.6563881178354,126.32037420744513,117.82188764485343,0.9930555555555556,Q3
2025-09-06,GBDT分位数主模型,27208.517504170333,292.8862929487103,27501.403797119045,45205.49013064819,72.34738950994878,5,34883.53447722593,1200.0,1200.0,1089.8820338410071,146.52479323908764,129.96641224907634,0.8680555555555556,Q3
2025-09-07,GBDT分位数主模型,49604.80980658303,505.3357536813422,50110.14556026437,78704.2034332047,98.48702235504834,5,19591.35796415197,1200.0,1200.0,2458.6054530406727,86.97328124134296,75.04203654299207,0.9166666666666666,Q3
2025-09-08,GBDT分位数主模型,46483.624416324004,3091.7346892097653,49575.35910553377,74161.61654810305,732.2601558973289,20,11367.429404645642,1200.0,1200.0,4037.102910336691,71.21787992367688,52.36559153210722,0.7986111111111112,Q3
2025-09-09,GBDT分位数主模型,47928.785229524205,130.95901082322956,48059.744240347434,75836.37438258165,29.378454246793126,3,18431.452808853624,1200.0,1200.0,2713.1275665411313,68.34262240055749,50.829189842977684,0.9375,Q3
2025-09-10,GBDT分位数主模型,45752.7174827866,14132.1178189542,59884.83530174079,72455.52241307936,3240.7700151709632,41,10534.781068686434,1200.0,1200.0,4284.132519059649,90.25200752700823,68.32496990260675,0.7152777777777778,Q3
2025-09-11,GBDT分位数主模型,48078.99642308241,438.616212043972,48517.61263512638,76208.89944509303,86.92037853406782,4,18669.15937918012,1200.0,1200.0,744.1124988099878,67.65598135564407,47.7786788933362,0.9583333333333334,Q3
2025-09-12,GBDT分位数主模型,25043.209358617343,918.8710931751016,25962.080451792444,42702.09849909844,240.80300590157592,5,28655.12781838939,1200.0,1200.0,1203.003437482438,77.01463749465599,64.38704160969084,0.9583333333333334,Q3
2025-09-13,GBDT分位数主模型,22859.48807526299,1307.3899378701337,24166.878013133126,39718.73020605031,302.08189816250797,8,29293.41977918628,1200.0,1200.0,499.72383725174046,80.58723679270217,58.37802051728688,0.8680555555555556,Q3
2025-09-14,GBDT分位数主模型,42136.07485504534,8341.094634668712,50477.169489714055,68191.56052601719,2027.5114288035513,50,6085.2907332600935,1200.0,1200.0,2738.12714519936,81.09228483293221,66.8977384497529,0.5763888888888888,Q3
2025-09-15,GBDT分位数主模型,43232.495762267004,6910.8530075912,50143.3487698582,69610.10495895431,1548.9164460625468,27,12050.08634721587,1200.0,1200.0,3112.360657038888,84.35618328662376,59.90248450092972,0.7222222222222222,Q3
2025-09-16,GBDT分位数主模型,41410.01766591343,8707.927203235966,50117.944869149396,65761.21117121,2701.5426187072558,53,5048.092929613403,1200.0,1200.0,3179.487162652621,93.44252165653334,68.3831749685424,0.5069444444444444,Q3
2025-09-17,GBDT分位数主模型,44707.02458123065,6458.2775777433,51165.30215897395,72151.02879583556,1417.3515916473311,33,9338.96188782358,1200.0,1200.0,2602.510063357979,59.33631691992075,45.6259659418212,0.7361111111111112,Q3
2025-09-18,GBDT分位数主模型,42008.79684204767,9634.740623207721,51643.53746525539,66850.74356031283,2204.7797052314518,46,6098.774967890584,1200.0,1200.0,2755.069293740589,83.61310145554567,62.23836365280761,0.5277777777777778,Q3
2025-09-19,GBDT分位数主模型,24275.61688773467,1042.716122273311,25318.333010007984,41952.45207228334,244.97838496230622,7,23269.932668658286,1200.0,1200.0,2289.602268502459,74.62222824912733,58.45288357589167,0.8333333333333334,Q3
2025-09-20,GBDT分位数主模型,23005.613364379988,4160.591536821106,27166.204901201094,39985.95792876011,985.2843045705752,25,22560.046415642668,1200.0,1200.0,2474.605502099388,72.20736329120612,55.632299558541675,0.7638888888888888,Q3
2025-09-21,GBDT分位数主模型,42600.62792500012,10435.341091088534,53035.96901608865,68771.42313767498,2788.965428529015,46,9161.880066645002,1200.0,1200.0,2732.955768614482,80.12015943367996,64.36499630903589,0.6597222222222222,Q3
2025-09-22,GBDT分位数主模型,45402.74184673735,6208.559993452747,51611.3018401901,72606.02355453315,1561.3127147931116,36,9330.996119371388,1200.0,1200.0,1496.9925878170432,70.058948966994,53.864631303649865,0.6805555555555556,Q3
