date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots
2025-07-05,26847.530048879627,3234.2902526062057,30081.820301485834,48872.487041569446,19485.950698641496,11998.934457084251,932.9735113775524,13528.364344723088,2590.283240257497,8428.291754873715,36
2025-07-06,65018.930252967955,7183.735467036411,72202.66572000437,87016.81754412047,22796.453479044856,20516.808131140377,1354.2564375170068,6297.447083732997,8428.291754873715,8428.291754873715,39
2025-07-07,63787.28416751119,876.8109009117288,64664.09506842292,86774.75004939636,22915.77820229694,20624.200382067247,294.1789885544219,11367.868451054426,8428.291754873715,8428.291754873715,20
2025-07-08,65769.33334525608,1029.0019821173582,66798.33532737342,88680.01869397308,22535.13965877842,20281.625692900583,235.3986848129241,11090.5163962415,8428.291754873715,8428.291754873715,13
2025-07-09,64695.430720552766,1099.1877676648353,65794.6184882176,87242.87640775237,22320.322530074714,20088.290277067248,255.73091231292443,11207.850050391158,8428.291754873715,8428.291754873715,11
2025-07-10,61093.66917603291,875.7847871817654,61969.45396321468,80506.11218129635,16224.08011514652,20124.004580341974,234.00785755101987,11786.421120709492,8428.291754873715,2607.2422138328247,10
2025-07-11,26086.99507378636,913.7671067293031,27000.762180515663,44659.469353123604,13066.09994318885,11740.686729584251,288.3293039795918,11103.6082934986,2607.2422138328247,2627.062547261645,18
2025-07-12,28443.24402780234,546.0245133593537,28989.26854116169,50784.56055591941,19285.491526154725,11853.413116114865,172.0629002380952,12440.301712784314,2627.062547261645,8428.291754873715,10
2025-07-13,60368.20415679876,1028.9193998013359,61397.1235566001,84204.44218824746,21595.564422440548,19436.007980196497,168.78695957482978,12945.952305578234,8428.291754873715,8428.291754873715,12
2025-07-14,60588.39968993,902.6684915354201,61491.068181465416,82558.56638763039,21291.282341780196,19162.15410760218,174.27708042517045,8796.036017210885,8428.291754873715,8428.291754873715,14
2025-07-15,63745.56957800749,4001.932350696007,67747.5019287035,86308.74498504828,21623.54499061893,19461.19049155704,1209.051453571427,12606.391356224489,8428.291754873715,8428.291754873715,18
2025-07-16,63189.442357750006,2706.511639451378,65895.95399720139,84652.66082856302,21381.686907841155,19243.518217057048,674.7423899829935,11054.67114442858,8428.291754873715,8428.291754873715,18
2025-07-17,58859.569664288916,3239.0867275780342,62098.65639186695,77940.6936834014,15201.945593850223,19198.374238420205,681.1672728061218,9897.873534110848,8428.291754873715,2613.260315729247,22
2025-07-18,24988.698351117335,432.82872469410245,25421.527075811435,43959.14161701627,12992.73329385023,11750.513353325749,120.96992767006711,11563.64350416186,2613.260315729247,2553.120763385713,11
2025-07-19,27520.040266127624,818.2088578594369,28338.24912398706,49943.18842708721,19183.898981200076,11691.832490264524,238.19540680272078,15506.49829295438,2553.120763385713,8428.291754873715,16
2025-07-20,59615.574752879285,2095.1624300554413,61710.737182934725,81801.69178667251,21163.218452005065,19046.89660680456,526.9292249829928,8122.3209497883345,8428.291754873715,8428.291754873715,15
2025-07-21,61167.07430990116,2884.736921258709,64051.81123115987,82634.3890891064,21190.192570315718,19071.173313284147,744.2680584353743,7269.888540510205,8428.291754873715,8428.291754873715,23
2025-07-22,63667.03799046664,2833.0711909462552,66500.1091814129,86350.48388992547,21490.415386717836,19341.373848046056,573.0078525388127,10979.305587125848,8428.291754873715,8428.291754873715,12
2025-07-23,62430.785625281125,1585.6557663993126,64016.44139168043,85361.01152242356,21538.72334085616,19384.851006770543,399.8656311904765,9390.457702861766,8428.291754873715,8428.291754873715,13
2025-07-24,59522.42737837582,3913.2726500031445,63435.70002837897,78839.50565549804,15547.447060176759,19493.879308641295,810.3857965986389,9979.851700561225,8428.291754873715,2629.5420922763096,19
2025-07-25,24770.10938993947,662.7115719917454,25432.820961931215,43630.78359088815,12975.249802484013,11772.359664174386,178.83799304421802,16101.411878956082,2629.5420922763096,2529.788210097457,11
2025-07-26,27365.302110096447,732.0152204916735,28097.31733058812,49687.43248439069,19141.162149302872,11631.234137951598,224.2676439455777,13932.680550318326,2529.788210097457,8428.291754873715,10
2025-07-27,60390.79015153726,4230.246002164375,64621.036153701636,82646.77801163937,21433.735374556953,19290.36183710126,950.3973752891151,7768.6120494727875,8428.291754873715,8428.291754873715,29
2025-07-28,61078.13324680476,9043.751867113597,70121.88511391837,82535.54208932228,21788.022985059597,19609.22068655364,2100.604954727889,4502.467512210881,8428.291754873715,8428.291754873715,45
2025-07-29,63646.606889633644,4082.5017120288367,67729.10860166248,86450.73858138615,22149.10064889557,19934.19058400602,951.7168704251682,9118.29943692177,8428.291754873715,8428.291754873715,19
2025-07-30,63818.54006866065,1267.5384548251404,65086.07852348579,86071.15263815485,21941.786560290126,19747.60790426112,274.57358996598697,10048.293522091833,8428.291754873715,8428.291754873715,17
2025-07-31,59078.893672879174,1213.3953308181938,60292.28900369737,79370.83307678196,16075.636283730155,19880.80055703323,259.44933367346874,8740.450417091834,8428.291754873715,2722.7755801935937,11
2025-08-01,24133.415379532144,704.4013966768456,24837.81677620899,42779.96516381144,13054.700603468515,11887.68138973731,221.18433294217687,20582.770616355745,2722.7755801935937,2576.835573765576,16
2025-08-02,26307.086166423105,485.04168672349465,26792.1278531466,48610.230104838534,19051.341403220104,11595.028514606358,107.5082024319727,20334.40048532343,2576.835573765576,8428.291754873715,7
2025-08-03,56734.343741397155,3336.693274690618,60071.03701608777,80306.30090753986,21219.398969505062,19097.45907255456,765.1544581292515,16110.03548538527,8428.291754873715,8428.291754873715,29
2025-08-04,56677.02272063781,789.7276222141687,57466.750342851985,79123.19396386914,20684.377735868366,18615.939962281533,247.01417195578313,11886.115278904761,8428.291754873715,8428.291754873715,18
2025-08-05,55572.14671848443,1303.1863735053644,56875.3330919898,77407.98219348848,20760.56876753794,18684.51189078415,335.6743049149659,10515.289888316325,8428.291754873715,8428.291754873715,16
2025-08-06,55346.97999434863,8435.845499016623,63782.82549336525,75977.84553454563,20317.344417565266,18285.609975808744,1850.175137823127,7681.88696394558,8428.291754873715,8428.291754873715,40
2025-08-07,50369.66360758296,1863.4139593336963,52233.07756691666,68312.60187647205,13533.362456311414,17949.330092016222,506.9607110374144,9847.544973214282,8428.291754873715,2346.91149531658,26
2025-08-08,22002.459857723978,702.2739825894065,22704.733840313384,40431.86172934809,12629.666635841917,11416.640655710104,174.4997823979592,23618.16428161424,2346.91149531658,2294.2693927782448,14
2025-08-09,24874.471828306258,1977.9296749314638,26852.40150323772,46029.10548189156,18324.25275960986,11400.294494788332,524.2912364285717,20707.5094534986,2294.2693927782448,7661.216401672922,20
2025-08-10,53009.39627164572,6021.74935276505,59031.14562441077,71623.8190701352,19348.72932754259,17384.51228898901,1577.8443242857145,5932.827305867346,7661.216401672922,7692.14780508186,36
2025-08-11,52615.943222246104,4101.407091122239,56717.35031336835,73354.7934860527,19664.68786272879,17442.962880111463,816.4452601360551,7388.260430238094,7692.14780508186,7961.2114608550655,28
2025-08-12,53420.16881292658,9127.732088598877,62547.90090152546,73296.51268206454,19974.988426512737,17680.653039125067,1885.708253214287,5127.341897891154,7961.2114608550655,8274.104652235557,44
2025-08-13,53478.2640739292,5719.926170780403,59198.1902447096,73894.2546739523,19714.0603739277,17707.00473410806,1157.0687266496607,6923.288310782314,8274.104652235557,8311.68263268502,32
2025-08-14,49879.954174203245,4175.078341196913,54055.03251540016,67042.56784427061,13311.437650232421,17658.910981318946,877.369980595238,6341.120172619048,8311.68263268502,2325.89463812564,35
2025-08-15,22514.06362582674,1320.4489222466832,23834.512548073424,40522.27809253026,12886.190141677138,11572.369870961802,409.4391387755103,22458.170077257102,2325.89463812564,2352.4590949885423,23
2025-08-16,25536.102933408605,1186.6267246810048,26722.72965808961,47022.85251388513,19100.213422232693,11533.51077511146,289.69756095238137,22816.567061049616,2352.4590949885423,8315.124735378853,19
2025-08-17,53468.92197417216,1992.8306420775205,55461.75261624968,73804.17097387482,19759.7051072856,17783.734596557042,417.8477449999991,9080.654591479592,8315.124735378853,8315.124735378853,24
2025-08-18,53136.14445134486,2842.475181656785,55978.61963300164,73344.38732802738,19758.70030528171,17959.211278869967,557.1902675170049,7707.972952465984,8315.124735378853,8129.20283238037,28
2025-08-19,53557.15664415637,3058.7609683447536,56615.91761250112,73601.94625618585,20129.887467691875,18023.43485431214,656.4187598299319,7834.252352636051,8129.20283238037,8227.722398185533,26
2025-08-20,53654.6612163831,13822.779764359784,67477.44098074289,72722.57614194824,19600.717597654944,17873.045119193095,3298.314309081635,3642.5269059013585,8227.722398185533,7982.752046350302,61
