date,uniform56,half_life7,half_life14,half_life28,uniform28,uniform42
2025-06-24,2475.994084626599,3419.5918072708055,2771.2011906705015,2574.0625340961506,2494.9895926100558,2622.0356463678427
2025-06-25,1817.3948583226816,1834.3278536834944,1852.3952737253899,1819.6370272269246,1985.8821095893045,1866.6282991613634
2025-06-26,1821.146630127018,1684.1234698413068,1758.9890246867012,1806.14094546821,1990.0259946623428,1810.0746337223331
2025-06-27,2059.375752529335,1766.870186529748,1923.764134242616,2006.0970589704966,2196.090262825023,2059.05360157678
2025-06-28,1695.1312178358103,1677.6054888634917,1661.2675478171836,1685.7361744362897,1848.4641817659208,1707.353600811925
2025-06-29,1864.5743412965512,1893.602303029528,1853.8038834204535,1880.5859986146336,2028.2924048569123,1879.1676297767472
2025-06-30,1917.0743258622338,1723.2438553913425,1806.497332859604,1877.234528396391,1932.565410364637,1896.5630838506531
2025-07-01,4000.4899981158146,4292.75250844937,4059.099822752436,4008.255589820952,3986.8186659266485,3926.4500835837935
2025-07-02,4183.0927233723505,3827.758019362934,4028.648001435877,4106.859686213333,4180.909327584284,4093.986519439817
2025-07-03,2897.255366860224,2730.595120573965,2827.3659826734033,2830.1089980233173,3240.8940291305544,2725.1401412125133
2025-07-04,2291.7359269153326,1855.5186142167902,1940.261811405022,2139.5799998059424,2407.4978580013444,2193.0628673993215
2025-07-05,2138.6144503413466,1948.2487554635577,1958.550992976086,2012.0902218228512,2022.6868809666578,2106.6905885436668
2025-07-06,1880.5305742257447,2463.032782396085,2207.069916253892,2004.8265589745386,2531.20787584985,1861.6016403902538
2025-07-07,1909.1724099321589,1966.1660733368421,1893.8869495210108,1904.262582633957,1651.217847716246,1999.5994033122133
2025-07-08,1665.3358640667122,1790.1035209357822,1741.2270381807364,1699.792321503145,1669.251595420243,1754.6050550527548
2025-07-09,1858.6444845850078,2021.0466728104757,1934.882809752455,1883.2177800717432,1871.8952084717052,1941.8713506947045
2025-07-10,1823.3178150822068,1866.3094939858806,1789.2467781833311,1790.5885121227857,1659.151636726027,1884.4296077196734
2025-07-11,2688.2679253220995,3245.234964723782,3055.48135154569,2895.983431331624,3186.5955219200155,2754.5570519830167
2025-07-12,1460.2434163332841,1624.560073163078,1544.8105022961215,1475.5643917823668,1763.6099982569651,1495.8428218655388
2025-07-13,1949.368677131276,1935.1344427322124,1903.6216585559991,1926.846372136773,1762.6580350108466,2018.3411893441926
2025-07-14,1435.3367776361179,1546.0795254308857,1488.8098930485226,1432.1680127667519,1528.5887911617306,1446.0501554291754
2025-07-15,2625.175739881268,2707.963856568277,2689.4281639630567,2675.9744382753174,2781.424045487639,2664.2589458955927
2025-07-16,2066.642545041804,2007.8973126497488,2032.9133875458065,2056.468589563507,2022.114442536451,2011.1906937532826
2025-07-17,1951.5425307360665,2173.1044632868097,2097.8027204963428,2035.1662527295166,2101.2247902548143,2001.8105720098215
2025-07-18,2462.1245486327207,2854.7456078814757,2773.19866509907,2596.392053796119,2966.2921592226367,2844.8527742936726
2025-07-19,1437.300267035041,1426.176755669403,1452.0208836613579,1435.2289251993893,1466.0978851380778,1370.733135251368
2025-07-20,1473.4665732469768,1536.3277180338573,1498.7676111546866,1476.033304649861,1521.4450891990741,1468.7786594414692
2025-07-21,1523.570058493321,1704.3883534032516,1616.9900920155994,1570.794335185119,1654.9847781856529,1726.4706538322425
2025-07-22,2012.0848215132805,2111.634970386542,2006.621868009217,2009.3864655375212,2149.043694319348,2015.5631760262477
2025-07-23,1663.0441965833777,1710.9754196121116,1661.1287278608243,1662.513796310518,1657.9854705675773,1668.658314658505
2025-07-24,2194.636366868691,2125.1934727772036,2173.608758112297,2197.9392685354715,2265.9938696639274,2338.986171617192
2025-07-25,1687.129289309842,1750.6286813414101,1698.0032589390112,1692.7899023612351,1752.578446220189,1626.2202202651326
2025-07-26,1544.2874339704076,1649.6470270420361,1573.7257563828337,1544.6967420707856,1633.1683359612598,1661.3081082261178
2025-07-27,1971.4425348249133,1967.9231574543494,1996.9114528434939,1974.572937291577,2067.511990753026,2076.3020097737003
2025-07-28,2274.6926886565752,2346.6467025104257,2320.9810419462965,2309.135334316205,2377.7675382038233,2513.5936244173
2025-07-29,2026.7223723249713,1893.1836274887273,1968.2136428143028,1979.5389194368404,2111.605543539128,2124.124678048149
2025-07-30,1829.2297105345892,1753.0902133703187,1730.1537199619459,1798.3675153437252,1935.0522597508989,1847.3821871165965
2025-07-31,1493.6807930161654,1523.7770012112692,1453.128887502025,1482.7624303095279,1522.6018001142834,1540.4681143075888
2025-08-01,2458.219184650343,2654.467236751957,2613.9475193335543,2545.428080991923,2682.3925401302304,2529.177405071076
2025-08-02,2157.9835695399743,2317.1340753288873,2311.704779679071,2279.0470470370337,2366.443017482955,2242.6896056042115
2025-08-03,2925.6618868234277,3259.2438684897133,3160.0662365248704,3054.663891466974,3294.93789116689,2994.4922337225826
2025-08-04,1827.4260992883171,1991.5135413241305,1978.1619355417579,1922.1398427620993,2065.6516846644536,1960.173712530032
2025-08-05,1679.9968954023068,1715.6030932029853,1762.977043544412,1735.322987425254,1876.2849622321246,1780.8692984345212
2025-08-06,2400.528646133762,2533.630620785447,2438.04916035316,2392.8730991307657,2493.3868416691416,2318.99606564441
2025-08-07,1636.2686630356834,1762.94529477587,1731.9568357275152,1686.8895771658817,1832.962117606296,1698.696159799571
2025-08-08,1625.2272711130718,1734.3390485585146,1686.5876727238078,1671.9638195780312,1723.7287929427548,1673.4038812116496
2025-08-09,1745.7885110001353,1997.2570365056545,1816.1422127911983,1769.4577139268536,1827.5893289453234,1768.7778318504797
2025-08-10,2070.754834705832,1990.508377291395,1978.7694735387404,2019.9007898190885,1865.7059596497497,1975.2308887364316
2025-08-11,1973.0878814345306,2050.1881013074517,1942.3319522499437,1927.9149759220008,1930.870383062316,1908.2641154845705
2025-08-12,2343.6930190483104,2526.3675603845754,2347.749618078465,2274.3418417768307,2288.6727749241395,2180.240908887506
2025-08-13,2089.781549273099,2173.1760437615876,2112.068665929585,2093.2762329712195,2124.443871471424,2055.5826865092595
2025-08-14,1618.397437556116,1842.2849252569717,1698.1287768708626,1656.8818322941713,1594.0652665227021,1629.1002038103416
2025-08-15,1642.7636637026349,1855.6400295481103,1768.9731701726869,1713.67126716768,1826.8881413137956,1745.0076326359272
2025-08-16,1739.0564628250315,1873.7998700030219,1811.6315931785562,1796.699081844023,1802.392110772123,1790.5137622138734
2025-08-17,1544.1666415827467,1619.442148995123,1610.1359731645744,1597.0286003745227,1657.2021586154528,1648.536630185949
2025-08-18,1772.370044106369,1653.690561188114,1699.5704926529793,1745.9288351828684,1661.9445538012599,1773.1952955343882
2025-08-19,1605.8968052986547,1692.1380011550089,1687.2202723647158,1645.3291080874371,1718.0029749026871,1718.0919466527846
2025-08-20,3437.398135885325,3214.071806666882,3202.9175628316534,3309.9244507268168,3186.0934609819274,3082.8654863068514
2025-08-21,1800.1786441082954,1810.5178120975584,1769.279746208882,1784.6267246032462,1808.633748882818,1783.3548758902866
2025-08-22,2161.673278485072,2212.7866638478226,2166.374172142074,2157.534391817983,2222.196494159354,2245.5538417593534
2025-08-23,1890.3884314324773,1975.6811642774883,1907.876742108604,1878.597066232284,1888.8919081879922,1797.4547953619608
2025-08-24,1576.8444918762393,1752.3551028218667,1638.8390159884168,1604.871331664926,1660.1623609893093,1653.3847421798569
2025-08-25,2070.939748549441,1918.2173506899976,1951.9428666002123,2029.7143290905917,2066.167870074804,2053.1567314361428
2025-08-26,1574.7282150898748,1689.1530554963101,1627.4022588629973,1611.100674304668,1628.5386272829899,1592.2159741495375
2025-08-27,1405.7247736904578,1539.9547003630096,1453.7659051876135,1406.5893849607623,1424.5320723065984,1331.9334672045813
2025-08-28,2880.627701307987,2882.94450922598,2865.167529990628,2880.2614601342802,2992.300598737238,2852.7946748040977
2025-08-29,1618.7574832861205,1732.2562062926277,1608.5534422874973,1586.0282161514842,1721.8853779842443,1549.3609088593269
2025-08-30,2229.774668829986,2371.130990762634,2278.0074168700776,2263.8788404357,2196.4234272887834,2263.108335892727
